"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",158.683402476396,-0.423884869471312,0.175579825922485,0.0121750843707646,0.0352765265101642
"YAL002W",73.4242134343831,-1.12145574876426,0.221768048399738,5.85535803655268e-08,6.93671044814184e-07
"YAL003W",327.144063726154,0.230125087199758,0.180165477217439,0.18392188431698,0.308162244723859
"YAL005C",3075.98944512122,0.185883587960906,0.15233733828773,0.209551936530985,0.34052189686285
"YAL007C",67.4411033095436,1.69037193441077,0.26459096604184,6.08334782552978e-13,1.57470272347194e-11
"YAL008W",60.6515676524334,-0.484820604992493,0.229953522487841,0.0242565877504874,0.0623771158082555
"YAL009W",28.2025574985657,-0.146547593975902,0.287594053528844,0.570951125856897,0.704220994025006
"YAL010C",20.0354862427357,0.40206313877799,0.340346577110252,0.167955250432507,0.287392268940422
"YAL011W",57.4146029064301,-0.0480274916682371,0.384828670516096,0.878192204576749,0.928604893664383
"YAL012W",95.4036791777458,2.61742909614694,0.282740466423833,4.85294640956973e-23,3.52048309909034e-21
"YAL013W",41.9026466304291,0.33084887905317,0.299665850163583,0.2148282444879,0.347088548323184
"YAL014C",22.8875891279631,0.188183035904758,0.342884681712133,0.520748343997047,0.661746814300746
"YAL015C",24.9113463086545,0.347721556176309,0.345827742074156,0.23793649131561,0.374428179692159
"YAL016W",278.818080845305,-0.116472479871665,0.197843652109559,0.53684348535725,0.674902079580488
"YAL017W",391.659469891408,-0.806798787149538,0.173724590875549,1.38668988252699e-06,1.27915066714734e-05
"YAL018C",1.87433931933642,0.527394913024873,0.785824163829934,0.0865230950207674,0.172120782062654
"YAL019W",110.531269147898,0.0638708216636008,0.209968264705334,0.748104852911839,0.838729826724609
"YAL020C",17.0301473413613,-0.0767718383018493,0.391115173862369,0.808011045701038,0.882504257349312
"YAL021C",87.4695737361612,-0.318391295523992,0.30303122801306,0.236482185626806,0.372638595533149
"YAL022C",36.9373207672029,-0.200714094530918,0.310286535140551,0.463311281427746,0.608225444519535
"YAL023C",171.239875136027,0.795478411518618,0.211405742096046,6.71190904772489e-05,0.000400397741770878
"YAL024C",45.3985004349997,0.276079428744153,0.279599701317437,0.275156979766839,0.417891551592129
"YAL025C",37.0138976650074,0.888746928980869,0.334380503765728,0.00195753922906002,0.00749837060622991
"YAL026C",93.30392266711,-0.196838646638902,0.239806871847594,0.377796973429835,0.524807332357851
"YAL027W",24.7442004372132,-0.358274533712996,0.315478050444309,0.195694310774376,0.323757814663541
"YAL028W",20.7750964685602,-0.662146104920082,0.391396032142615,0.0365999060308161,0.0872458611915113
"YAL029C",194.428224537618,-0.052713902015308,0.197381049661864,0.779402022006527,0.862310128748518
"YAL030W",86.7345057691034,-0.167877772928748,0.212803831898667,0.404186779417863,0.551172317442415
"YAL031C",87.9989584249439,-0.758626874451491,0.232672590074501,0.000470930634800717,0.00217888851188111
"YAL032C",38.4320329801232,-0.123369129884533,0.256626785103786,0.601448631247078,0.729133929690083
"YAL033W",17.9957812618876,0.221278037761193,0.336737000884884,0.444819795928075,0.590409012330375
"YAL034C",208.29529495366,-0.587775600214715,0.240629232780514,0.00855973041882072,0.0262721834562646
"YAL034W-A",11.1045113790244,0.22124729805073,0.383159911765136,0.479324189191309,0.622990961819826
"YAL035W",394.538829153612,0.493229256206602,0.265417886688346,0.0420169948363527,0.0976629199598134
"YAL036C",34.3456356104086,0.603275591564212,0.276499122555022,0.0160082040262733,0.0444001329255858
"YAL037W",13.5073309131647,-1.1496640340425,0.473832086158837,0.000989979357270463,0.00419705534150162
"YAL038W",2238.33586358711,-1.26031272232528,0.177278804783099,8.8999808941653e-14,2.5510384260544e-12
"YAL039C",72.5284660389179,-0.0524740257413023,0.225156295787315,0.804012578332797,0.879936284277056
"YAL040C",48.016578192399,-0.334160195127009,0.282798361627258,0.190426843825353,0.316176358948226
"YAL041W",57.3943355968083,-0.401808107446357,0.248681101168538,0.0806608696169957,0.16287397590016
"YAL042W",68.9349604974556,-0.31497635196633,0.236100146396562,0.152615668681775,0.268172747958765
"YAL043C",30.5026971030567,0.135135310425999,0.332974170714222,0.638273258045822,0.756605540503783
"YAL044C",130.038736721873,0.384572455690398,0.193434638465732,0.0373666273609311,0.0886062560019496
"YAL044W-A",47.463518318768,0.0190717882189233,0.288048472531315,0.941287605840662,0.967128164350364
"YAL046C",27.2183558980347,1.04876789414522,0.350987614103859,0.000383243506999664,0.0018249099247407
"YAL047C",21.0473072407613,-0.133899336418086,0.379124162429303,0.666758778372846,0.779171975919888
"YAL048C",31.6393543183452,-0.632763919780123,0.305772905831247,0.0192611000266738,0.0516559670272639
"YAL049C",241.221224269256,0.298166464874165,0.183121574379174,0.0898322713091392,0.177430059231093
"YAL051W",106.640324387581,-0.694864711190463,0.20164587856444,0.00028563271969597,0.00142235411943518
"YAL053W",171.53497802397,-0.133454967023713,0.237081607436072,0.546000582789826,0.683508631826866
"YAL054C",111.831095269414,0.0269057143134898,0.249508030414295,0.907183294765404,0.945397800646379
"YAL055W",39.3389005686706,0.347458442478792,0.378947441154938,0.263968756463143,0.405087598061485
"YAL056W",220.077086049605,-0.761788325340333,0.225185618010591,0.000304404068382805,0.00149931123706401
"YAL058W",21.2829749355653,-0.148628984590926,0.385305441134611,0.6355558176163,0.75459723637461
"YAL059W",26.3067287697405,0.160639244103541,0.323589923416451,0.568809943221565,0.701911784545473
"YAL060W",301.352575861245,-2.25085713887295,0.266008629298661,1.51005602577069e-20,8.61464971595005e-19
"YAL061W",163.312556415836,-1.62483083659888,0.204033638838976,9.43184832653515e-18,4.54274924317381e-16
"YAL062W",69.8642759443466,0.861449387601515,0.268043519829237,0.000405203464114482,0.00191550728490482
"YAL063C",34.5420228060526,-0.533876916881756,0.28524076530227,0.0375710361377269,0.0890550255527565
"YAL065C",4.36634604612076,0.498742904739147,0.564930152260717,0.146154597947883,0.259928697803196
"YAL067C",59.761906987875,1.27492848951479,0.25831177843407,4.79432118889371e-08,5.85684642535123e-07
"YAR002C-A",110.44605952848,1.4435642477955,0.23261908042215,1.19693323201236e-11,2.60488135974246e-10
"YAR002W",54.5879577770638,-0.0143128972376249,0.256772682872209,0.951703900803914,0.97426619019163
"YAR003W",46.0374367736877,0.125706235956266,0.267961198245273,0.607362752700198,0.733730167530091
"YAR007C",93.9625860296106,0.354191877413219,0.242555039818906,0.11590362749835,0.217518273772055
"YAR008W",28.5355388049649,0.243108702486129,0.298793486791747,0.361082312011654,0.508683688655113
"YAR014C",69.3487572825371,-0.102653313076619,0.221526608855161,0.622448450923473,0.745669133053277
"YAR015W",115.656328774973,0.826211277721009,0.206069690327969,2.27235279512683e-05,0.000155440570712052
"YAR018C",11.6088517470073,0.586978007869199,0.392352185497456,0.064178453310026,0.136092598935299
"YAR019C",38.4391144316758,-0.6704308831213,0.261344372435726,0.00507721452026866,0.0167982615546727
"YAR020C",1.66926090501047,-0.117870761750871,0.621714469645286,0.692628143249881,0.798485966202924
"YAR023C",9.75074001888936,-0.399561333901876,0.414203763431136,0.218831792338263,0.351614878802197
"YAR027W",24.1508296050406,5.41007351997649,0.9250314793986,2.35147487698479e-11,4.83121201998694e-10
"YAR028W",2.8734062487345,2.07314094140303,1.61052788308754,0.00062536824576825,0.00280294722512146
"YAR029W",1.41120586334622,0.595929736171655,0.865548566432205,0.055220334645948,0.121027484662287
"YAR035W",8.77190162437609,1.44032751670167,0.761266488841595,0.000840426044465366,0.00363648264895323
