"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","GO:0055085","transmembrane transport","188/1647","461/5861",0.407809110629067,1.45122598506191,6.30951571605665,6.90062882719212e-10,1.1351534420731e-06,1.04526367182415e-06,"YAL005C/YAL053W/YBL030C/YBL042C/YBL099W/YBR021W/YBR043C/YBR091C/YBR127C/YBR180W/YBR220C/YBR235W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCL025C/YCL038C/YCR011C/YCR023C/YCR028C/YCR037C/YCR075C/YCR098C/YDL067C/YDL092W/YDL138W/YDL183C/YDL206W/YDL210W/YDR086C/YDR119W/YDR270W/YDR322C-A/YDR338C/YDR343C/YDR345C/YDR352W/YDR406W/YDR529C/YDR536W/YEL006W/YEL027W/YEL063C/YEL064C/YEL065W/YEL069C/YER019C-A/YER039C/YER053C/YER056C/YER060W/YER103W/YFL050C/YFL054C/YFL055W/YFR033C/YGL008C/YGL077C/YGL080W/YGL139W/YGL186C/YGL253W/YGL254W/YGR121C/YGR125W/YGR138C/YGR191W/YGR217W/YGR243W/YGR257C/YGR260W/YHL008C/YHL016C/YHL028W/YHL036W/YHL040C/YHR002W/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR162W/YHR175W/YIL006W/YIL088C/YIL090W/YIL166C/YIR028W/YJL034W/YJL108C/YJL166W/YJL193W/YJL212C/YJR045C/YJR095W/YJR106W/YJR121W/YJR152W/YJR158W/YKL016C/YKL073W/YKL084W/YKL120W/YKL195W/YKL197C/YKL217W/YKR016W/YKR039W/YKR093W/YKR103W/YKR104W/YKR105C/YLL053C/YLR004C/YLR092W/YLR152C/YLR188W/YLR237W/YLR259C/YLR295C/YLR378C/YLR447C/YML055W/YML081C-A/YML116W/YML123C/YMR058W/YMR088C/YMR155W/YMR221C/YMR256C/YMR279C/YMR319C/YNL055C/YNL065W/YNL070W/YNL101W/YNL121C/YNL142W/YNL291C/YNL305C/YNL329C/YNR017W/YNR055C/YNR072W/YOL027C/YOL044W/YOL075C/YOL077W-A/YOL092W/YOL126C/YOL130W/YOL137W/YOL158C/YOR011W/YOR020C/YOR045W/YOR065W/YOR100C/YOR161C/YOR232W/YOR273C/YOR306C/YOR328W/YOR348C/YOR390W/YPL026C/YPL036W/YPL063W/YPL078C/YPL092W/YPL098C/YPL189W/YPL265W/YPL271W/YPL274W/YPR011C/YPR020W/YPR058W/YPR115W/YPR124W/YPR128C/YPR133W-A/YPR156C/YPR191W/YPR194C/YPR201W",188
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","94/1647","206/5861",0.456310679611651,1.62382325027558,5.69806244892025,3.65092863543816e-08,3.00288880264789e-05,2.76509805599764e-05,"YAL038W/YBL030C/YBR010W/YBR117C/YBR196C/YBR238C/YCR005C/YCR012W/YDL021W/YDL067C/YDL085W/YDR031W/YDR050C/YDR148C/YDR529C/YEL011W/YEL039C/YER054C/YER065C/YER067W/YFL018C/YFL053W/YFR003C/YFR015C/YFR017C/YFR021W/YFR033C/YFR049W/YGL134W/YGL226W/YGL253W/YGR043C/YGR240C/YGR254W/YGR256W/YHR174W/YHR183W/YIL050W/YIL057C/YIR031C/YJL045W/YJL052W/YJL116C/YJL137C/YJL166W/YJR009C/YJR120W/YJR121W/YKL055C/YKL060C/YKL085W/YKL148C/YKL152C/YKR058W/YLR044C/YLR087C/YLR134W/YLR154W-C/YLR164W/YLR174W/YLR258W/YLR446W/YML070W/YMR002W/YMR030W/YMR081C/YMR105C/YMR145C/YMR256C/YMR311C/YNL037C/YNL117W/YNL169C/YNL241C/YNR001C/YNR074C/YOL056W/YOL086C/YOL126C/YOL136C/YOR002W/YOR065W/YOR178C/YOR344C/YOR347C/YOR355W/YOR374W/YPL061W/YPL075W/YPL252C/YPL262W/YPL271W/YPR184W/YPR191W",94
"GO:0046034","GO:0046034","ATP metabolic process","31/1647","49/5861",0.63265306122449,2.25135372910549,5.49874615536864,2.79078206414698e-07,0.00015302788318406,0.000140910013695,"YAL038W/YBL099W/YBR127C/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W",31
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","79/1647","174/5861",0.454022988505747,1.61568229242998,5.15392405830573,5.91290424853044e-07,0.000198080815159312,0.000182395324277235,"YAL038W/YBL015W/YBR112C/YBR196C/YBR218C/YCL018W/YCR012W/YDL015C/YDL021W/YDR050C/YEL020C/YEL071W/YER010C/YER061C/YER065C/YER073W/YFL018C/YFR055W/YGL055W/YGL062W/YGL205W/YGL253W/YGR240C/YGR254W/YGR256W/YHR067W/YHR174W/YHR183W/YIL009W/YIR023W/YIR031C/YIR033W/YJL052W/YJL060W/YJL097W/YJL196C/YJR009C/YJR019C/YKL055C/YKL060C/YKL152C/YKL182W/YKR009C/YLL027W/YLR044C/YLR134W/YLR153C/YLR174W/YLR231C/YLR446W/YML054C/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL117W/YNR016C/YOL002C/YOL056W/YOL136C/YOR040W/YOR100C/YOR344C/YOR347C/YOR363C/YOR374W/YOR388C/YOR391C/YPL061W/YPL075W/YPL095C/YPL231W/YPL280W/YPR002W/YPR006C/YPR128C",79
"GO:0043436","GO:0043436","oxoacid metabolic process","146/1647","369/5861",0.395663956639566,1.40800634478719,5.06131278850821,6.0206934698879e-07,0.000198080815159312,0.000182395324277235,"YAL012W/YAL038W/YAL044C/YBL015W/YBR112C/YBR196C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YCR037C/YDL015C/YDL021W/YDR050C/YDR089W/YDR148C/YDR253C/YDR452W/YDR511W/YEL020C/YEL046C/YEL071W/YER010C/YER040W/YER043C/YER052C/YER055C/YER061C/YER065C/YER073W/YFL018C/YFR049W/YFR055W/YGL009C/YGL055W/YGL062W/YGL148W/YGL184C/YGL196W/YGL205W/YGL253W/YGR087C/YGR124W/YGR204W/YGR240C/YGR254W/YGR256W/YHR033W/YHR037W/YHR067W/YHR174W/YHR183W/YHR205W/YHR208W/YIL009W/YIL020C/YIL051C/YIL074C/YIR017C/YIR023W/YIR031C/YIR033W/YJL012C/YJL052W/YJL060W/YJL088W/YJL097W/YJL130C/YJL196C/YJR009C/YJR010W/YJR019C/YJR024C/YJR078W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL085W/YKL106W/YKL152C/YKL182W/YKR009C/YKR034W/YKR069W/YLL027W/YLL058W/YLL062C/YLR044C/YLR134W/YLR142W/YLR153C/YLR174W/YLR231C/YLR303W/YLR351C/YLR438W/YLR446W/YML054C/YML099C/YML123C/YMR009W/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL037C/YNL103W/YNL117W/YNL229C/YNL239W/YNL277W/YNR001C/YNR016C/YOL002C/YOL056W/YOL126C/YOL136C/YOL140W/YOR040W/YOR100C/YOR344C/YOR347C/YOR363C/YOR374W/YOR388C/YOR391C/YPL061W/YPL075W/YPL095C/YPL111W/YPL231W/YPL262W/YPL273W/YPL280W/YPR002W/YPR006C/YPR035W/YPR128C/YPR167C",146
"GO:0006082","GO:0006082","organic acid metabolic process","146/1647","371/5861",0.393530997304582,1.40041601408753,4.98150490988923,8.76256823007652e-07,0.000240240412307931,0.000221216415492634,"YAL012W/YAL038W/YAL044C/YBL015W/YBR112C/YBR196C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YCR037C/YDL015C/YDL021W/YDR050C/YDR089W/YDR148C/YDR253C/YDR452W/YDR511W/YEL020C/YEL046C/YEL071W/YER010C/YER040W/YER043C/YER052C/YER055C/YER061C/YER065C/YER073W/YFL018C/YFR049W/YFR055W/YGL009C/YGL055W/YGL062W/YGL148W/YGL184C/YGL196W/YGL205W/YGL253W/YGR087C/YGR124W/YGR204W/YGR240C/YGR254W/YGR256W/YHR033W/YHR037W/YHR067W/YHR174W/YHR183W/YHR205W/YHR208W/YIL009W/YIL020C/YIL051C/YIL074C/YIR017C/YIR023W/YIR031C/YIR033W/YJL012C/YJL052W/YJL060W/YJL088W/YJL097W/YJL130C/YJL196C/YJR009C/YJR010W/YJR019C/YJR024C/YJR078W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL085W/YKL106W/YKL152C/YKL182W/YKR009C/YKR034W/YKR069W/YLL027W/YLL058W/YLL062C/YLR044C/YLR134W/YLR142W/YLR153C/YLR174W/YLR231C/YLR303W/YLR351C/YLR438W/YLR446W/YML054C/YML099C/YML123C/YMR009W/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL037C/YNL103W/YNL117W/YNL229C/YNL239W/YNL277W/YNR001C/YNR016C/YOL002C/YOL056W/YOL126C/YOL136C/YOL140W/YOR040W/YOR100C/YOR344C/YOR347C/YOR363C/YOR374W/YOR388C/YOR391C/YPL061W/YPL075W/YPL095C/YPL111W/YPL231W/YPL262W/YPL273W/YPL280W/YPR002W/YPR006C/YPR035W/YPR128C/YPR167C",146
"GO:0019752","GO:0019752","carboxylic acid metabolic process","138/1647","352/5861",0.392045454545455,1.39512957443285,4.77994417192043,2.27693474549466e-06,0.000535079665191244,0.000492708135152904,"YAL012W/YAL038W/YAL044C/YBL015W/YBR112C/YBR196C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YDL015C/YDL021W/YDR050C/YDR148C/YDR253C/YDR511W/YEL020C/YEL046C/YEL071W/YER010C/YER043C/YER052C/YER055C/YER061C/YER065C/YER073W/YFL018C/YFR049W/YFR055W/YGL009C/YGL055W/YGL062W/YGL148W/YGL184C/YGL196W/YGL205W/YGL253W/YGR087C/YGR124W/YGR204W/YGR240C/YGR254W/YGR256W/YHR033W/YHR037W/YHR067W/YHR174W/YHR183W/YHR205W/YHR208W/YIL009W/YIL020C/YIL051C/YIL074C/YIR017C/YIR023W/YIR031C/YIR033W/YJL052W/YJL060W/YJL088W/YJL097W/YJL130C/YJL196C/YJR009C/YJR010W/YJR019C/YJR024C/YJR078W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL085W/YKL106W/YKL152C/YKL182W/YKR009C/YKR069W/YLL027W/YLL058W/YLL062C/YLR044C/YLR134W/YLR142W/YLR153C/YLR174W/YLR231C/YLR303W/YLR351C/YLR438W/YLR446W/YML054C/YML099C/YMR009W/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL037C/YNL103W/YNL117W/YNL239W/YNL277W/YNR001C/YNR016C/YOL002C/YOL056W/YOL126C/YOL136C/YOL140W/YOR040W/YOR100C/YOR344C/YOR347C/YOR363C/YOR374W/YOR388C/YOR391C/YPL061W/YPL075W/YPL095C/YPL111W/YPL231W/YPL262W/YPL273W/YPL280W/YPR002W/YPR006C/YPR035W/YPR128C/YPR167C",138
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","32/1647","56/5861",0.571428571428571,2.03348078757915,4.85784497015822,4.4911859466238e-06,0.000923500110274519,0.000850370602262059,"YAL038W/YBL099W/YBR127C/YBR196C/YBR252W/YCR012W/YDL021W/YDR050C/YDR322C-A/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W",32
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","31/1647","54/5861",0.574074074074074,2.04289505048461,4.81293409934185,5.5502544856064e-06,0.000993073068967338,0.000914434264113902,"YAL038W/YBL099W/YBR127C/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W",31
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","33/1647","59/5861",0.559322033898305,1.99039856750332,4.77964332428887,6.03691835238504e-06,0.000993073068967338,0.000914434264113902,"YAL038W/YBL099W/YBR127C/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YER005W/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YNR012W/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W",33
