"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005576","GO:0005576","extracellular region","57/1647","117/5862",0.487179487179487,1.73396852085377,5.01255578605856,1.44217688693678e-06,0.000434316328048841,0.000413504626547679,"YAL005C/YBR067C/YBR162C/YCR045C/YCR089W/YDL049C/YDR032C/YDR055W/YDR144C/YDR349C/YDR420W/YDR461W/YER011W/YER065C/YER150W/YFR020W/YGR189C/YHR143W/YHR202W/YHR211W/YIL123W/YIL162W/YIL169C/YIR019C/YJL078C/YJL079C/YJL158C/YJL159W/YJR004C/YJR150C/YJR151C/YKL157W/YKL163W/YKL164C/YKR013W/YKR102W/YLR042C/YLR300W/YMR305C/YNL145W/YNL322C/YNL327W/YNR067C/YOL030W/YOL154W/YOL159C/YOR003W/YOR009W/YOR190W/YOR214C/YOR247W/YOR382W/YOR383C/YOR389W/YPL123C/YPL187W/YPR121W",57
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","69/1647","152/5862",0.453947368421053,1.61568881219442,4.80727395966795,3.07108278412696e-06,0.000434316328048841,0.000413504626547679,"YAL048C/YBL038W/YBR091C/YBR120C/YBR122C/YBR170C/YBR262C/YBR268W/YBR282W/YCL057C-A/YCR003W/YCR046C/YCR071C/YDL045W-A/YDL202W/YDR296W/YDR405W/YDR462W/YEL020W-A/YEL059C-A/YER050C/YFR011C/YGL219C/YGR076C/YGR084C/YGR181W/YGR215W/YHR005C-A/YIR024C/YJL063C/YJL096W/YJR045C/YJR113C/YJR135W-A/YKL003C/YKL138C/YKR016W/YKR085C/YLL006W/YLR099W-A/YLR204W/YLR439W/YML009C/YML091C/YMR089C/YMR158W/YMR188C/YMR193W/YMR286W/YNL070W/YNL081C/YNL121C/YNL122C/YNL252C/YNR017W/YNR022C/YNR037C/YOL114C/YOR045W/YOR158W/YOR232W/YPL013C/YPL029W/YPL063W/YPL098C/YPL118W/YPR100W/YPR133W-A/YPR166C",69
"GO:0000322","GO:0000322","storage vacuole","164/1647","438/5862",0.374429223744292,1.33266794753433,4.52399425086234,6.48233325446031e-06,0.000434316328048841,0.000413504626547679,"YAL005C/YAR027W/YAR028W/YBL042C/YBR021W/YBR074W/YBR097W/YBR127C/YBR162C/YBR235W/YBR286W/YBR290W/YCL005W-A/YCL021W-A/YCL038C/YCL048W-A/YCR011C/YCR023C/YCR028C/YCR032W/YCR044C/YCR075C/YCR098C/YDL049C/YDL130W/YDL206W/YDL210W/YDR055W/YDR089W/YDR107C/YDR119W/YDR144C/YDR281C/YDR352W/YDR438W/YDR452W/YDR506C/YDR525W-A/YDR536W/YEL065W/YER011W/YER056C/YFR021W/YGL032C/YGL156W/YGL186C/YGL212W/YGL257C/YGL263W/YGR125W/YGR138C/YGR141W/YGR197C/YGR254W/YGR260W/YHL008C/YHL036W/YHL040C/YHL048W/YHR028C/YHR039C-A/YHR143W/YHR174W/YHR175W/YHR186C/YHR202W/YHR205W/YHR215W/YIL088C/YIL089W/YIL158W/YIL162W/YIL166C/YIR019C/YIR028W/YJL012C/YJL079C/YJL097W/YJL116C/YJL151C/YJL158C/YJL172W/YJL222W/YJR004C/YJR066W/YJR137C/YJR138W/YJR152W/YJR161C/YKL103C/YKL203C/YKL217W/YKR013W/YKR039W/YKR093W/YKR103W/YLL051C/YLR042C/YLR173W/YLR178C/YLR194C/YLR299W/YLR300W/YLR332W/YLR361C/YLR413W/YLR443W/YLR447C/YLR461W/YML012W/YML104C/YML121W/YML123C/YMR058W/YMR063W/YMR088C/YMR155W/YMR221C/YMR231W/YMR244W/YMR251W-A/YMR319C/YNL058C/YNL065W/YNL101W/YNL129W/YNL176C/YNL180C/YNL305C/YNL320W/YNL322C/YNL327W/YNR028W/YNR055C/YNR061C/YNR072W/YOL002C/YOL019W/YOL075C/YOL092W/YOL132W/YOL138C/YOL154W/YOL158C/YOR003W/YOR009W/YOR049C/YOR104W/YOR190W/YOR214C/YOR247W/YOR273C/YOR288C/YOR328W/YOR381W/YOR382W/YOR383C/YPL006W/YPL123C/YPL163C/YPL236C/YPL265W/YPR156C/YPR194C",164
"GO:0000323","GO:0000323","lytic vacuole","164/1647","438/5862",0.374429223744292,1.33266794753433,4.52399425086234,6.48233325446031e-06,0.000434316328048841,0.000413504626547679,"YAL005C/YAR027W/YAR028W/YBL042C/YBR021W/YBR074W/YBR097W/YBR127C/YBR162C/YBR235W/YBR286W/YBR290W/YCL005W-A/YCL021W-A/YCL038C/YCL048W-A/YCR011C/YCR023C/YCR028C/YCR032W/YCR044C/YCR075C/YCR098C/YDL049C/YDL130W/YDL206W/YDL210W/YDR055W/YDR089W/YDR107C/YDR119W/YDR144C/YDR281C/YDR352W/YDR438W/YDR452W/YDR506C/YDR525W-A/YDR536W/YEL065W/YER011W/YER056C/YFR021W/YGL032C/YGL156W/YGL186C/YGL212W/YGL257C/YGL263W/YGR125W/YGR138C/YGR141W/YGR197C/YGR254W/YGR260W/YHL008C/YHL036W/YHL040C/YHL048W/YHR028C/YHR039C-A/YHR143W/YHR174W/YHR175W/YHR186C/YHR202W/YHR205W/YHR215W/YIL088C/YIL089W/YIL158W/YIL162W/YIL166C/YIR019C/YIR028W/YJL012C/YJL079C/YJL097W/YJL116C/YJL151C/YJL158C/YJL172W/YJL222W/YJR004C/YJR066W/YJR137C/YJR138W/YJR152W/YJR161C/YKL103C/YKL203C/YKL217W/YKR013W/YKR039W/YKR093W/YKR103W/YLL051C/YLR042C/YLR173W/YLR178C/YLR194C/YLR299W/YLR300W/YLR332W/YLR361C/YLR413W/YLR443W/YLR447C/YLR461W/YML012W/YML104C/YML121W/YML123C/YMR058W/YMR063W/YMR088C/YMR155W/YMR221C/YMR231W/YMR244W/YMR251W-A/YMR319C/YNL058C/YNL065W/YNL101W/YNL129W/YNL176C/YNL180C/YNL305C/YNL320W/YNL322C/YNL327W/YNR028W/YNR055C/YNR061C/YNR072W/YOL002C/YOL019W/YOL075C/YOL092W/YOL132W/YOL138C/YOL154W/YOL158C/YOR003W/YOR009W/YOR049C/YOR104W/YOR190W/YOR214C/YOR247W/YOR273C/YOR288C/YOR328W/YOR381W/YOR382W/YOR383C/YPL006W/YPL123C/YPL163C/YPL236C/YPL265W/YPR156C/YPR194C",164
"GO:0000324","GO:0000324","fungal-type vacuole","164/1647","438/5862",0.374429223744292,1.33266794753433,4.52399425086234,6.48233325446031e-06,0.000434316328048841,0.000413504626547679,"YAL005C/YAR027W/YAR028W/YBL042C/YBR021W/YBR074W/YBR097W/YBR127C/YBR162C/YBR235W/YBR286W/YBR290W/YCL005W-A/YCL021W-A/YCL038C/YCL048W-A/YCR011C/YCR023C/YCR028C/YCR032W/YCR044C/YCR075C/YCR098C/YDL049C/YDL130W/YDL206W/YDL210W/YDR055W/YDR089W/YDR107C/YDR119W/YDR144C/YDR281C/YDR352W/YDR438W/YDR452W/YDR506C/YDR525W-A/YDR536W/YEL065W/YER011W/YER056C/YFR021W/YGL032C/YGL156W/YGL186C/YGL212W/YGL257C/YGL263W/YGR125W/YGR138C/YGR141W/YGR197C/YGR254W/YGR260W/YHL008C/YHL036W/YHL040C/YHL048W/YHR028C/YHR039C-A/YHR143W/YHR174W/YHR175W/YHR186C/YHR202W/YHR205W/YHR215W/YIL088C/YIL089W/YIL158W/YIL162W/YIL166C/YIR019C/YIR028W/YJL012C/YJL079C/YJL097W/YJL116C/YJL151C/YJL158C/YJL172W/YJL222W/YJR004C/YJR066W/YJR137C/YJR138W/YJR152W/YJR161C/YKL103C/YKL203C/YKL217W/YKR013W/YKR039W/YKR093W/YKR103W/YLL051C/YLR042C/YLR173W/YLR178C/YLR194C/YLR299W/YLR300W/YLR332W/YLR361C/YLR413W/YLR443W/YLR447C/YLR461W/YML012W/YML104C/YML121W/YML123C/YMR058W/YMR063W/YMR088C/YMR155W/YMR221C/YMR231W/YMR244W/YMR251W-A/YMR319C/YNL058C/YNL065W/YNL101W/YNL129W/YNL176C/YNL180C/YNL305C/YNL320W/YNL322C/YNL327W/YNR028W/YNR055C/YNR061C/YNR072W/YOL002C/YOL019W/YOL075C/YOL092W/YOL132W/YOL138C/YOL154W/YOL158C/YOR003W/YOR009W/YOR049C/YOR104W/YOR190W/YOR214C/YOR247W/YOR273C/YOR288C/YOR328W/YOR381W/YOR382W/YOR383C/YPL006W/YPL123C/YPL163C/YPL236C/YPL265W/YPR156C/YPR194C",164
"GO:0000313","GO:0000313","organellar ribosome","42/1647","89/5862",0.471910112359551,1.6796217842451,4.03827031424559,8.85059116487277e-05,0.00423564005747483,0.00403267537286684,"YBL038W/YBR120C/YBR122C/YBR268W/YBR282W/YCR003W/YCR046C/YCR071C/YDL045W-A/YDL202W/YDR296W/YDR405W/YDR462W/YER050C/YFR049W/YGR076C/YGR084C/YGR215W/YJL063C/YJL096W/YJR113C/YKL003C/YKL138C/YKR085C/YLR204W/YLR439W/YML009C/YMR158W/YMR188C/YMR193W/YMR286W/YNL081C/YNL122C/YNL252C/YNR022C/YNR037C/YOL114C/YOR158W/YPL013C/YPL118W/YPR100W/YPR166C",42
"GO:0005761","GO:0005761","mitochondrial ribosome","42/1647","89/5862",0.471910112359551,1.6796217842451,4.03827031424559,8.85059116487277e-05,0.00423564005747483,0.00403267537286684,"YBL038W/YBR120C/YBR122C/YBR268W/YBR282W/YCR003W/YCR046C/YCR071C/YDL045W-A/YDL202W/YDR296W/YDR405W/YDR462W/YER050C/YFR049W/YGR076C/YGR084C/YGR215W/YJL063C/YJL096W/YJR113C/YKL003C/YKL138C/YKR085C/YLR204W/YLR439W/YML009C/YMR158W/YMR188C/YMR193W/YMR286W/YNL081C/YNL122C/YNL252C/YNR022C/YNR037C/YOL114C/YOR158W/YPL013C/YPL118W/YPR100W/YPR166C",42
"GO:0005758","GO:0005758","mitochondrial intermembrane space","34/1647","69/5862",0.492753623188406,1.75380797761411,3.93701782634308,0.000143403292922068,0.00600501289111162,0.00571726286255089,"YBL059C-A/YBR091C/YCR079W/YDL085W/YDR031W/YDR155C/YDR511W/YEL020W-A/YEL039C/YFR033C/YGR181W/YHR005C-A/YHR055C/YIL155C/YIL156W-B/YJR034W/YJR135W-A/YKL053C-A/YKL084W/YKL137W/YKL152C/YKL195W/YKR071C/YLL009C/YLR043C/YLR168C/YLR193C/YLR218C/YML054C/YMR002W/YMR145C/YMR244C-A/YNL036W/YOR090C",34
"GO:0000315","GO:0000315","organellar large ribosomal subunit","25/1647","47/5862",0.531914893617021,1.89319071425803,3.84283855817676,0.000238651907834924,0.00799483891246996,0.00761173979726127,"YBL038W/YBR122C/YBR268W/YBR282W/YCR003W/YCR046C/YCR071C/YDL202W/YDR296W/YDR405W/YDR462W/YGR076C/YJL063C/YJL096W/YKL138C/YKR085C/YLR439W/YML009C/YMR193W/YMR286W/YNL122C/YNL252C/YNR022C/YOL114C/YPR100W",25
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","25/1647","47/5862",0.531914893617021,1.89319071425803,3.84283855817676,0.000238651907834924,0.00799483891246996,0.00761173979726127,"YBL038W/YBR122C/YBR268W/YBR282W/YCR003W/YCR046C/YCR071C/YDL202W/YDR296W/YDR405W/YDR462W/YGR076C/YJL063C/YJL096W/YKL138C/YKR085C/YLR439W/YML009C/YMR193W/YMR286W/YNL122C/YNL252C/YNR022C/YOL114C/YPR100W",25
