"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"sce01200","Metabolism","Global and overview maps","sce01200","Carbon metabolism","59/624","112/2236",0.526785714285714,1.88764880952381,5.9954456439604,1.18757534399613e-08,1.25209386325044e-06,9.5741040188961e-07,"YAL038W/YAL044C/YBR117C/YBR196C/YBR218C/YCL064C/YCR005C/YCR012W/YDL021W/YDL168W/YDR050C/YDR148C/YER065C/YFL018C/YFL053W/YGL062W/YGL205W/YGL253W/YGR043C/YGR088W/YGR240C/YGR254W/YGR256W/YHL011C/YHR174W/YHR183W/YIL074C/YIR031C/YJL045W/YJL052W/YJR009C/YKL060C/YKL085W/YKL106W/YKL148C/YKL152C/YKL181W/YKR009C/YKR097W/YLR153C/YLR164W/YLR174W/YLR303W/YLR377C/YLR446W/YML070W/YNL037C/YNL117W/YNL241C/YNR001C/YOL056W/YOL061W/YOL126C/YOR347C/YOR388C/YPL028W/YPL262W/YPR002W/YPR006C",59
"sce01110","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","147/624","367/2236",0.400544959128065,1.43528610354223,5.67350868289519,2.36244125141592e-08,1.25209386325044e-06,9.5741040188961e-07,"YAL012W/YAL038W/YAL044C/YAL061W/YBR029C/YBR052C/YBR117C/YBR196C/YBR208C/YBR256C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YCR068W/YCR105W/YDL015C/YDL021W/YDL055C/YDL090C/YDL168W/YDL205C/YDR032C/YDR050C/YDR148C/YEL011W/YEL046C/YER005W/YER052C/YER055C/YER065C/YER073W/YER141W/YFL018C/YFL053W/YFR015C/YFR055W/YGL001C/YGL009C/YGL012W/YGL148W/YGL184C/YGL205W/YGL253W/YGR043C/YGR060W/YGR087C/YGR088W/YGR124W/YGR157W/YGR175C/YGR240C/YGR254W/YGR256W/YHL011C/YHL032C/YHR007C/YHR033W/YHR046C/YHR072W/YHR123W/YHR174W/YHR183W/YHR208W/YIL020C/YIL053W/YIL074C/YIL155C/YIL162W/YIR031C/YJL045W/YJL052W/YJL088W/YJL097W/YJL130C/YJL137C/YJL196C/YJR009C/YJR010W/YJR019C/YJR148W/YKL019W/YKL055C/YKL060C/YKL085W/YKL106W/YKL148C/YKL152C/YKL181W/YKR031C/YKR058W/YKR069W/YKR097W/YLL058W/YLL062C/YLR044C/YLR056W/YLR100W/YLR134W/YLR142W/YLR153C/YLR164W/YLR174W/YLR258W/YLR303W/YLR377C/YLR438W/YLR446W/YLR450W/YML070W/YML075C/YMR015C/YMR101C/YMR105C/YMR169C/YMR170C/YMR202W/YMR207C/YMR208W/YMR303C/YMR318C/YNL037C/YNL117W/YNL169C/YNL241C/YNL277W/YNL280C/YNR001C/YNR016C/YNR043W/YOL056W/YOL061W/YOL086C/YOL126C/YOL140W/YOR274W/YOR347C/YOR374W/YPL028W/YPL061W/YPL111W/YPL262W/YPL273W/YPR006C/YPR035W/YPR184W",147
"sce00010","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","34/624","54/2236",0.62962962962963,2.25617283950617,5.81255995623325,5.63975521858693e-08,1.99271351056738e-06,1.52372333975857e-06,"YAL038W/YBR196C/YCR012W/YCR105W/YDL021W/YDL168W/YDR050C/YER073W/YFL018C/YGL253W/YGR087C/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YKR097W/YLR044C/YLR134W/YLR153C/YLR377C/YLR446W/YMR105C/YMR169C/YMR170C/YMR303C/YMR318C/YOL056W/YOL086C/YOR347C/YOR374W/YPL061W",34
"sce00620","Metabolism","Carbohydrate metabolism","sce00620","Pyruvate metabolism","32/624","52/2236",0.615384615384615,2.20512820512821,5.46961988201322,3.06267981582457e-07,8.11610151193512e-06,6.20595646890769e-06,"YAL038W/YBL015W/YBR218C/YCR105W/YDL168W/YEL071W/YER073W/YFL018C/YGL062W/YIR031C/YKL085W/YKR097W/YLR153C/YML054C/YMR169C/YMR170C/YMR207C/YMR303C/YMR318C/YMR322C/YNL117W/YNR016C/YOL086C/YOL126C/YOR040W/YOR347C/YOR374W/YOR391C/YPL028W/YPL061W/YPL262W/YPL280W",32
"sce00051","Metabolism","Carbohydrate metabolism","sce00051","Fructose and mannose metabolism","15/624","23/2236",0.652173913043478,2.33695652173913,4.00902749693257,0.000197235649507468,0.00348449647463194,0.0026644114056272,"YDL055C/YDR050C/YEL070W/YFL053W/YGL253W/YGR240C/YIL107C/YJL155C/YJR159W/YKL060C/YLR377C/YLR446W/YML070W/YNR073C/YOL136C",15
"sce01212","Metabolism","Global and overview maps","sce01212","Fatty acid metabolism","15/624","23/2236",0.652173913043478,2.33695652173913,4.00902749693257,0.000197235649507468,0.00348449647463194,0.0026644114056272,"YDL015C/YER061C/YGL055W/YGL205W/YHR067W/YIL009W/YJL097W/YJL196C/YKL055C/YKL182W/YMR207C/YMR246W/YNR016C/YPL028W/YPL231W",15
"sce00380","Metabolism","Amino acid metabolism","sce00380","Tryptophan metabolism","13/624","20/2236",0.65,2.32916666666667,3.71413855532659,0.000566237270076568,0.00803341509282716,0.00614273050792147,"YDR148C/YDR242W/YER073W/YFL018C/YGR088W/YJL060W/YJR078W/YLR231C/YMR169C/YMR170C/YOR374W/YPL028W/YPL061W",13
"sce00100","Metabolism","Lipid metabolism","sce00100","Steroid biosynthesis","12/624","18/2236",0.666666666666667,2.38888888888889,3.68020088181315,0.000666952494147669,0.00803341509282716,0.00614273050792147,"YCR048W/YGL001C/YGL012W/YGR060W/YGR175C/YHR007C/YHR072W/YLR056W/YLR100W/YMR015C/YMR202W/YNL280C",12
"sce00190","Metabolism","Energy metabolism","sce00190","Oxidative phosphorylation","32/624","69/2236",0.463768115942029,1.66183574879227,3.47371233848019,0.000682082413541929,0.00803341509282716,0.00614273050792147,"YBL099W/YBR127C/YCL005W-A/YDL067C/YDL085W/YDR322C-A/YDR529C/YEL027W/YEL039C/YER141W/YFR033C/YGL008C/YHR039C-A/YJL045W/YJL166W/YJR121W/YKL016C/YKL148C/YLL009C/YLR164W/YLR295C/YLR447C/YML081C-A/YMR145C/YMR256C/YOL077W-A/YOR065W/YPL036W/YPL078C/YPL271W/YPR020W/YPR191W",32
"sce03050","Genetic Information Processing","Folding, sorting and degradation","sce03050","Proteasome","19/624","36/2236",0.527777777777778,1.8912037037037,3.35324613361687,0.001297907577972,0.0137578203265032,0.0105198824740888,"YBL041W/YBR173C/YDL007W/YDR363W-A/YDR394W/YDR427W/YFR004W/YFR052W/YGL011C/YGL048C/YGR253C/YHR027C/YHR200W/YIL007C/YIL075C/YOL038W/YOR157C/YOR261C/YPR103W",19
