UniqueCount	AmbigCount
117	0
60	0
233	0
2555	3046
63	0
51	0
21	0
17	0
80	0
129	0
47	0
26	0
20	0
211	0
288	0
3	0
81	0
7	0
41	0
23	0
144	0
42	0
34	0
67	2
19	0
22	0
147	0
78	0
66	0
16	0
11	0
12	0
517	0
22	0
3	0
670	0
78	0
25	0
39	0
47	0
31	0
182	0
25	0
23	0
11	0
223	0
75	0
97	0
108	0
43	0
112	0
11	0
19	0
276	0
122	0
67	0
31	21
0	0
43	0
29	0
14	0
64	0
14	0
0	323
0	1
30	0
60	0
5	0
29	0
0	0
6	0
19	0
3	0
2	0
0	0
0	9
7	0
79	0
24	25
1	1
5	0
0	34
352	0
343	0
634	32
169	0
55	0
72	0
380	0
36	0
24	0
18	0
177	0
6	0
42	0
618	0
32	0
359	0
40	0
19	0
90	0
41	0
554	0
27	0
113	0
15	0
64	0
393	197
113	0
388	0
652	0
6	0
54	0
229	0
83	0
35	0
75	0
23	0
244	0
34	0
87	0
636	0
57	0
132	0
0	0
1271	0
38	0
440	0
99	0
183	0
254	0
87	0
19	0
22	0
131	0
39	0
313	0
80	0
68	0
59	0
88	0
2275	0
235	0
146	0
30	0
21	0
134	796
17	0
288	0
337	0
315	0
134	0
39	0
35	3
34	0
101	0
125	0
223	0
156	92
153	0
47	0
106	0
662	0
896	0
77	0
39	0
54	0
47	0
3869	0
211	0
66	0
105	0
65	0
125	0
82	0
88	0
175	0
38	0
88	0
38	0
25	0
154	0
136	0
71	0
868	551
1010	240
784	0
9	0
84	0
135	0
119	0
70	0
4	0
1	14
0	5
39	0
36	0
86	0
270	0
511	0
107	0
54	0
46	0
11	0
217	426
86	0
42	0
237	0
157	0
50	0
64	0
814	0
4	0
66	0
20	0
44	0
134	0
31	0
121	0
113	0
114	31
242	0
269	0
537	0
138	0
972	0
71	0
401	0
130	0
80	0
392	0
61	0
29	0
42	0
63	0
58	0
10	0
34	0
81	0
2	20
30	0
42	0
3182	0
122	0
86	0
27	0
37	0
443	0
166	0
94	0
214	0
648	0
61	0
71	0
3	0
389	0
24	0
154	0
48	126
26	0
16	3
30	11
76	0
75	0
43	0
90	0
123	0
884	0
48	0
54	0
31	0
274	0
303	0
10	0
93	0
156	0
65	0
312	0
279	5
266	0
216	0
499	0
0	8095
58	0
194	0
354	0
255	0
84	0
53	0
842	0
470	0
53	0
51	0
68	0
21	0
50	0
75	0
41	0
65	0
52	0
61	0
456	0
586	0
7	0
74	0
126	0
76	0
139	0
160	0
229	0
396	0
85	0
226	0
43	0
15	0
54	0
59	0
58	0
21	0
58	0
82	0
33	0
74	0
281	0
51	0
51	0
36	0
43	0
13	0
16	0
1716	0
57	0
32	0
212	0
292	0
16	0
25	0
276	0
250	0
32	0
140	576
36	0
237	0
10	0
91	0
17	0
39	0
28	0
440	49
274	46
31	0
34	0
11	0
21	0
654	0
6	0
158	0
174	0
72	0
40	0
48	0
158	0
39	0
51	0
113	0
202	0
42	0
24	0
28	0
15	0
342	0
138	0
51	0
17	0
411	35
0	7
10	7
205	0
245	0
10	0
84	0
113	0
29	0
114	0
660	0
44	0
21	0
171	0
151	0
34	0
107	0
35	0
67	0
29	0
109	0
37	0
25	0
10	0
199	0
10	0
41	0
64	0
159	0
18	0
90	0
25	0
56	0
32	0
97	0
408	0
92	0
25	0
20	0
78	0
26	0
158	0
149	0
45	0
30	0
45	51
131	0
180	0
35	0
20	0
40	0
143	0
35	0
96	0
118	0
63	0
212	0
56	0
39	0
93	0
192	0
127	0
46	0
1781	0
362	0
43	0
95	0
323	0
30	0
22	0
72	0
54	0
4	0
89	24
341	0
2	37
1	4
164	727
75	0
21	0
36	0
17	0
22	0
96	0
23	0
132	0
110	0
10	0
160	0
77	0
0	2146
0	316
122	0
389	0
12	0
60	0
19	0
173	0
58	0
24	0
40	0
96	0
897	0
15	0
32	0
67	0
58	0
426	21
31	21
504	0
19	0
76	0
16	0
5	0
25	0
186	0
79	0
76	0
91	0
19	0
50	0
131	0
134	55
72	0
92	0
19	0
28	0
13	1
212	399
0	5
5	7
2	1
2	0
66	0
143	0
151	0
48	0
13	0
151	0
110	0
3	0
243	0
648	0
60	0
12	0
125	0
99	0
4	0
12	0
30	0
18	0
3649	0
53	0
23	0
72	0
42	0
7	0
12	0
117	0
467	78
48	0
419	0
31	0
71	0
88	0
62	0
31	5
129	0
14	0
28	0
7	0
69	0
35	0
3	6
0	6
21	0
16	0
90	0
19	0
32	0
12	0
14	0
57	0
4	0
42	0
13	0
35	0
7	0
82	0
66	0
12	0
25	0
10	0
36	0
102	0
26	0
173	0
58	0
39	0
40	0
201	0
27	0
24	0
149	0
97	0
315	0
17	0
84	0
0	399
270	0
17	0
3	0
4	0
2	0
21	3
0	4
0	0
0	0
0	18
53	0
66	0
187	0
144	0
23	0
44	0
57	0
332	1
3685	0
1539	0
409	0
154	0
61	0
23	0
28	0
31	0
33	0
107	0
62	0
62	0
35	0
458	0
85	0
101	0
384	0
32	0
22	0
412	0
55	0
409	0
617	0
10	0
78	6
137	0
58	0
2528	0
23	0
59	0
122	0
110	0
56	0
45	0
47	0
5	0
0	8
182	0
254	0
149	0
60	0
177	55
111	0
44	0
26	0
98	0
2297	0
117	0
30	0
350	0
21	0
24	0
52	0
8	0
458	726
621	1360
0	0
0	0
0	0
0	24
0	5
298	0
475	0
131	0
95	0
38	0
151	0
14	0
